OATC,CorrectedRunwayLengthM,MaxTakeoffWeightT,V1Kt,VRKt,V2Kt,LimitationCode
-10.0,1000,50.4,108,123,140,4
-10.0,1250,61.2,117,128,143,4
-10.0,1500,67.2,126,136,148,4
-10.0,1750,72.4,133,142,153,4
-10.0,2000,77.0,139,147,156,4
-10.0,2250,79.25,143,150,158,7
-10.0,2500,79.25,143,150,158,7
-10.0,2750,79.25,143,150,158,7
-10.0,3000,79.25,143,150,158,7
-10.0,3250,79.25,143,150,158,7
-10.0,3500,79.25,143,150,158,7
-9.0,1000,50.16,108,123,140,4
-9.0,1250,61.06,117,128,143,4
-9.0,1500,67.09,126,136,148,4
-9.0,1750,72.29,133,142,153,4
-9.0,2000,76.9,139,147,156,4
-9.0,2250,79.25,143,150,158,7
-9.0,2500,79.25,143,150,158,7
-9.0,2750,79.25,143,150,158,7
-9.0,3000,79.25,143,150,158,7
-9.0,3250,79.25,143,150,158,7
-9.0,3500,79.25,143,150,158,7
-8.0,1000,49.92,108,123,140,4
-8.0,1250,60.92,117,128,143,4
-8.0,1500,66.98,126,136,148,4
-8.0,1750,72.18,133,142,153,4
-8.0,2000,76.8,139,147,156,4
-8.0,2250,79.25,143,150,158,7
-8.0,2500,79.25,143,150,158,7
-8.0,2750,79.25,143,150,158,7
-8.0,3000,79.25,143,150,158,7
-8.0,3250,79.25,143,150,158,7
-8.0,3500,79.25,143,150,158,7
-7.0,1000,49.68,108,123,140,4
-7.0,1250,60.78,116,128,143,4
-7.0,1500,66.87,125,135,148,4
-7.0,1750,72.07,132,142,153,4
-7.0,2000,76.7,139,147,156,4
-7.0,2250,79.25,143,150,158,7
-7.0,2500,79.25,143,150,158,7
-7.0,2750,79.25,143,150,158,7
-7.0,3000,79.25,143,150,158,7
-7.0,3250,79.25,143,150,158,7
-7.0,3500,79.25,143,150,158,7
-6.0,1000,49.44,108,123,140,4
-6.0,1250,60.64,116,128,143,4
-6.0,1500,66.76,125,135,148,4
-6.0,1750,71.96,132,142,153,4
-6.0,2000,76.6,139,147,156,4
-6.0,2250,79.25,143,150,158,7
-6.0,2500,79.25,143,150,158,7
-6.0,2750,79.25,143,150,158,7
-6.0,3000,79.25,143,150,158,7
-6.0,3250,79.25,143,150,158,7
-6.0,3500,79.25,143,150,158,7
-5.0,1000,49.2,108,123,140,4
-5.0,1250,60.5,116,128,142,4
-5.0,1500,66.65,125,135,148,4
-5.0,1750,71.85,132,142,152,4
-5.0,2000,76.5,138,146,156,4
-5.0,2250,79.25,142,150,158,7
-5.0,2500,79.25,142,150,158,7
-5.0,2750,79.25,142,150,158,7
-5.0,3000,79.25,142,150,158,7
-5.0,3250,79.25,142,150,158,7
-5.0,3500,79.25,142,150,158,7
-4.0,1000,48.96,108,123,140,4
-4.0,1250,60.36,116,127,142,4
-4.0,1500,66.54,125,135,147,4
-4.0,1750,71.74,132,141,152,4
-4.0,2000,76.4,138,146,156,4
-4.0,2250,79.25,142,150,158,7
-4.0,2500,79.25,142,150,158,7
-4.0,2750,79.25,142,150,158,7
-4.0,3000,79.25,142,150,158,7
-4.0,3250,79.25,142,150,158,7
-4.0,3500,79.25,142,150,158,7
-3.0,1000,48.72,108,123,140,4
-3.0,1250,60.22,116,127,142,4
-3.0,1500,66.43,125,135,147,4
-3.0,1750,71.63,132,141,152,4
-3.0,2000,76.3,138,146,156,4
-3.0,2250,79.25,142,150,158,7
-3.0,2500,79.25,142,150,158,7
-3.0,2750,79.25,142,150,158,7
-3.0,3000,79.25,142,150,158,7
-3.0,3250,79.25,142,150,158,7
