OATC,CorrectedRunwayLengthM,MaxTakeoffWeightT,V1Kt,VRKt,V2Kt,LimitationCode
-10.0,1000,48.2,108,123,138,4
-10.0,1250,60.7,114,125,139,4
-10.0,1500,67.0,123,131,143,4
-10.0,1750,71.8,129,135,147,4
-10.0,2000,76.3,136,138,149,4
-10.0,2250,79.25,140,141,152,7
-10.0,2500,79.25,140,141,152,7
-10.0,2750,79.25,140,141,152,7
-10.0,3000,79.25,141,141,152,7
-9.0,1000,47.98,108,123,138,4
-9.0,1250,60.58,114,125,139,4
-9.0,1500,66.91,123,131,143,4
-9.0,1750,71.7,129,135,147,4
-9.0,2000,76.2,136,138,149,4
-9.0,2250,79.25,140,141,152,7
-9.0,2500,79.25,140,141,152,7
-9.0,2750,79.25,140,141,152,7
-9.0,3000,79.25,141,141,152,7
-8.0,1000,47.76,108,123,138,4
-8.0,1250,60.46,114,125,139,4
-8.0,1500,66.82,123,131,143,4
-8.0,1750,71.6,129,135,147,4
-8.0,2000,76.1,136,138,149,4
-8.0,2250,79.25,140,141,152,7
-8.0,2500,79.25,140,141,152,7
-8.0,2750,79.25,140,141,152,7
-8.0,3000,79.25,141,141,152,7
-7.0,1000,47.54,108,123,138,4
-7.0,1250,60.34,114,125,139,4
-7.0,1500,66.73,122,131,143,4
-7.0,1750,71.5,129,135,147,4
-7.0,2000,76.0,135,138,149,4
-7.0,2250,79.25,140,141,152,7
-7.0,2500,79.25,140,141,152,7
-7.0,2750,79.25,140,141,152,7
-7.0,3000,79.25,141,141,152,7
-6.0,1000,47.32,108,123,138,4
-6.0,1250,60.22,114,125,139,4
-6.0,1500,66.64,122,131,143,4
-6.0,1750,71.4,129,135,147,4
-6.0,2000,75.9,135,138,149,4
-6.0,2250,79.25,140,141,152,7
-6.0,2500,79.25,140,141,152,7
-6.0,2750,79.25,140,141,152,7
-6.0,3000,79.25,141,141,152,7
-5.0,1000,47.1,108,123,138,4
-5.0,1250,60.1,114,125,138,4
-5.0,1500,66.55,122,130,143,4
-5.0,1750,71.3,128,134,146,4
-5.0,2000,75.8,135,138,149,4
-5.0,2250,79.25,140,141,152,7
-5.0,2500,79.25,140,141,152,7
-5.0,2750,79.25,140,141,152,7
-5.0,3000,79.25,141,141,152,7
-4.0,1000,46.88,108,123,138,4
-4.0,1250,59.98,113,125,138,4
-4.0,1500,66.46,122,130,143,4
-4.0,1750,71.2,128,134,146,4
-4.0,2000,75.7,135,137,149,4
-4.0,2250,79.25,140,141,152,7
-4.0,2500,79.25,140,141,152,7
-4.0,2750,79.25,140,141,152,7
-4.0,3000,79.25,141,141,152,7
-3.0,1000,46.66,108,123,138,4
-3.0,1250,59.86,113,125,138,4
-3.0,1500,66.37,122,130,143,4
-3.0,1750,71.1,128,134,146,4
-3.0,2000,75.6,135,137,149,4
-3.0,2250,79.25,140,141,152,7
-3.0,2500,79.25,140,141,152,7
-3.0,2750,79.25,140,141,152,7
-3.0,3000,79.25,141,141,152,7
-2.0,1000,46.44,108,123,138,4
-2.0,1250,59.74,113,125,138,4
-2.0,1500,66.28,121,130,143,4
-2.0,1750,71.0,128,134,146,4
-2.0,2000,75.5,134,137,149,4
-2.0,2250,79.25,140,141,152,7
-2.0,2500,79.25,140,141,152,7
-2.0,2750,79.25,140,141,152,7
-2.0,3000,79.25,141,141,152,7
-1.0,1000,46.22,108,123,138,4
-1.0,1250,59.62,113,125,138,4
-1.0,1500,66.19,121,130,143,4
-1.0,1750,70.9,128,134,146,4
-1.0,2000,75.4,134,137,149,4
-1.0,2250,79.25,140,141,152,7
-1.0,2500,79.25,140,141,152,7
-1.0,2750,79.25,140,141,152,7
-1.0,3000,79.25,141,141,152,7
0.0,1000,46.0,108,123,138,4
0.0,1250,59.5,113,125,138,4
0.0,1500,66.1,121,130,143,4
0.0,1750,70.8,128,134,146,4
0.0,2000,75.3,134,137,149,4
0.0,2250,79.25,140,141,152,7
0.0,2500,79.25,140,141,152,7
0.0,2750,79.25,140,141,152,7
0.0,3000,79.25,141,141,152,7
1.0,1000,46.06,108,123,138,4
1.0,1250,59.37,113,125,138,4
1.0,1500,66.01,121,130,143,4
1.0,1750,70.7,128,134,146,4
1.0,2000,75.2,134,137,149,4
1.0,2250,79.15,140,141,152,7
1.0,2500,79.25,140,141,152,7
1.0,2750,79.25,140,141,152,7
1.0,3000,79.25,141,141,152,7
2.0,1000,46.11,108,123,138,4
2.0,1250,59.24,113,125,138,4
2.0,1500,65.92,121,130,143,4
2.0,1750,70.6,128,134,146,4
2.0,2000,75.1,134,137,149,4
2.0,2250,79.04,140,141,152,6
2.0,2500,79.25,140,141,152,7
2.0,2750,79.25,140,141,152,7
2.0,3000,79.25,141,141,152,7
3.0,1000,46.17,108,123,138,4
3.0,1250,59.11,112,125,138,4
3.0,1500,65.83,120,130,143,4
3.0,1750,70.5,127,134,146,4
3.0,2000,75.0,134,137,149,4
3.0,2250,78.94,139,141,152,6
3.0,2500,79.25,140,141,152,7
3.0,2750,79.25,140,141,152,7
3.0,3000,79.25,141,141,152,7
4.0,1000,46.22,108,123,138,4
4.0,1250,58.98,112,125,138,4
4.0,1500,65.74,120,130,143,4
4.0,1750,70.4,127,134,146,4
4.0,2000,74.9,134,137,149,4
4.0,2250,78.83,139,141,152,6
4.0,2500,79.25,140,141,152,7
4.0,2750,79.25,140,141,152,7
4.0,3000,79.25,141,141,152,7
5.0,1000,46.28,108,123,138,4
5.0,1250,58.85,112,125,138,4
5.0,1500,65.65,120,130,142,4
5.0,1750,70.3,127,134,146,4
5.0,2000,74.8,134,137,148,4
5.0,2250,78.72,139,140,152,6
5.0,2500,79.25,140,141,152,7
5.0,2750,79.25,140,141,152,7
5.0,3000,79.25,141,141,152,7
6.0,1000,46.33,108,123,138,4
6.0,1250,58.72,112,125,138,4
6.0,1500,65.56,120,129,142,4
6.0,1750,70.2,127,133,145,4
6.0,2000,74.7,133,137,148,4
6.0,2250,78.62,139,140,151,5
6.0,2500,79.25,140,141,152,7
6.0,2750,79.25,140,141,152,7
6.0,3000,79.25,141,141,152,7
7.0,1000,46.38,108,123,138,4
7.0,1250,58.59,112,125,138,4
7.0,1500,65.47,120,129,142,4
7.0,1750,70.1,127,133,145,4
7.0,2000,74.6,133,137,148,4
7.0,2250,78.52,139,140,151,5
7.0,2500,79.25,140,141,152,7
7.0,2750,79.25,140,141,152,7
7.0,3000,79.25,141,141,152,7
8.0,1000,46.44,108,123,138,4
8.0,1250,58.46,111,125,138,4
8.0,1500,65.38,119,129,142,4
8.0,1750,70.0,126,133,145,4
8.0,2000,74.5,133,137,148,4
8.0,2250,78.41,138,140,151,5
8.0,2500,79.25,140,141,152,7
8.0,2750,79.25,140,141,152,7
8.0,3000,79.25,141,141,152,7
9.0,1000,46.5,108,123,138,4
9.0,1250,58.33,111,125,138,4
9.0,1500,65.29,119,129,142,4
9.0,1750,69.9,126,133,145,4
9.0,2000,74.4,133,137,148,4
9.0,2250,78.31,138,140,151,4
9.0,2500,79.25,140,141,152,7
9.0,2750,79.25,140,141,152,7
9.0,3000,79.25,141,141,152,7
10.0,1000,46.55,108,123,138,4
10.0,1250,58.2,111,125,138,4
10.0,1500,65.2,119,129,142,4
10.0,1750,69.8,126,133,145,4
10.0,2000,74.3,133,137,148,4
10.0,2250,78.2,138,140,151,4
10.0,2500,79.25,140,141,152,7
10.0,2750,79.25,140,141,152,7
10.0,3000,79.25,141,141,152,7
11.0,1000,46.6,108,123,138,4
11.0,1250,58.06,111,125,138,4
11.0,1500,65.1,119,129,142,4
11.0,1750,69.7,126,133,145,4
11.0,2000,74.2,133,137,148,4
11.0,2250,78.11,138,140,151,4
11.0,2500,79.25,140,141,152,7
11.0,2750,79.25,140,141,152,7
11.0,3000,79.25,141,141,152,7
12.0,1000,46.66,108,123,138,4
12.0,1250,57.92,111,125,138,4
12.0,1500,65.0,119,129,142,4
12.0,1750,69.6,126,133,145,4
12.0,2000,74.1,133,137,148,4
12.0,2250,78.02,138,140,151,4
12.0,2500,79.25,140,141,152,7
12.0,2750,79.25,140,141,152,7
12.0,3000,79.25,141,141,152,7
13.0,1000,46.72,108,123,138,4
13.0,1250,57.78,111,125,138,4
13.0,1500,64.9,119,129,142,4
13.0,1750,69.5,126,133,145,4
13.0,2000,74.0,132,137,148,4
13.0,2250,77.93,138,140,151,4
13.0,2500,79.25,140,141,152,7
13.0,2750,79.25,140,141,152,7
13.0,3000,79.25,141,141,152,7
14.0,1000,46.77,108,123,138,4
14.0,1250,57.64,111,125,138,4
14.0,1500,64.8,119,129,142,4
14.0,1750,69.4,126,133,145,4
14.0,2000,73.9,132,137,148,4
14.0,2250,77.84,138,140,151,4
14.0,2500,79.25,140,141,152,7
14.0,2750,79.25,140,141,152,7
14.0,3000,79.25,141,141,152,7
15.0,1000,46.82,108,123,138,4
15.0,1250,57.5,110,124,138,4
15.0,1500,64.7,118,128,142,4
15.0,1750,69.3,126,132,145,4
15.0,2000,73.8,132,136,148,4
15.0,2250,77.75,138,140,150,4
15.0,2500,79.25,140,141,152,7
15.0,2750,79.25,140,141,152,7
15.0,3000,79.25,141,141,152,7
16.0,1000,46.88,108,123,138,4
16.0,1250,57.36,110,124,138,4
16.0,1500,64.6,118,128,141,4
16.0,1750,69.2,125,132,145,4
16.0,2000,73.7,132,136,148,4
16.0,2250,77.66,137,139,150,4
16.0,2500,79.25,139,141,152,7
16.0,2750,79.25,139,141,152,7
16.0,3000,79.25,141,141,152,7
17.0,1000,46.94,108,123,138,4
17.0,1250,57.22,110,124,138,4
17.0,1500,64.5,118,128,141,4
17.0,1750,69.1,125,132,145,4
17.0,2000,73.6,132,136,148,4
17.0,2250,77.57,137,139,150,4
17.0,2500,79.25,139,141,152,7
17.0,2750,79.25,139,141,152,7
17.0,3000,79.25,141,141,152,7
18.0,1000,46.99,108,123,138,4
18.0,1250,57.08,110,124,138,4
18.0,1500,64.4,118,128,141,4
18.0,1750,69.0,125,132,145,4
18.0,2000,73.5,131,136,148,4
18.0,2250,77.48,137,139,150,4
18.0,2500,79.25,139,141,152,7
18.0,2750,79.25,139,141,152,7
18.0,3000,79.25,141,141,152,7
19.0,1000,47.04,108,123,138,4
19.0,1250,56.94,110,124,138,4
19.0,1500,64.3,118,128,141,4
19.0,1750,68.9,125,132,145,4
19.0,2000,73.4,131,136,148,4
19.0,2250,77.39,137,139,150,4
19.0,2500,79.25,139,141,152,7
19.0,2750,79.25,139,141,152,7
19.0,3000,79.25,141,141,152,7
20.0,1000,47.1,108,123,138,4
20.0,1250,56.8,110,124,138,4
20.0,1500,64.2,118,128,141,4
20.0,1750,68.8,125,132,145,4
