OATC,CorrectedRunwayLengthM,MaxTakeoffWeightT,V1Kt,VRKt,V2Kt,LimitationCode
-10,1000,45.0,108,123,140,4
-10,1250,57.3,114,125,141,4
-10,1500,63.8,122,132,145,4
-10,1750,68.8,129,138,150,4
-10,2000,73.2,135,143,153,4
-10,2250,77.1,141,148,157,4
-10,2500,79.25,144,150,158,7
-10,2750,79.25,144,150,158,7
-10,3000,79.25,144,150,158,7
-10,3250,79.25,144,150,158,7
-10,3500,79.25,144,150,158,7
0,1250,56.0,112,124,141,4
0,1500,62.5,120,130,144,4
0,1750,67.7,127,136,149,4
0,2000,72.2,133,142,152,4
0,2250,76.1,139,146,156,4
0,2500,79.25,144,150,158,7
0,2750,79.25,144,150,158,7
0,3000,79.25,144,150,158,7
0,3250,79.25,144,150,158,7
0,3500,79.25,144,150,158,7
10,1250,54.9,111,124,140,4
10,1500,61.5,119,129,144,4
10,1750,66.7,126,135,148,4
10,2000,71.2,132,140,152,4
10,2250,75.2,137,145,155,4
10,2500,78.7,143,149,158,4
10,2750,79.25,143,150,158,7
10,3000,79.25,143,150,158,7
10,3250,79.25,143,150,158,7
10,3500,79.25,143,150,158,7
20,1250,52.9,109,123,140,4
20,1500,60.5,118,128,143,4
20,1750,65.7,124,134,147,4
20,2000,70.3,130,139,151,4
20,2250,74.1,136,144,154,4
20,2500,77.6,141,148,157,4
20,2750,79.25,143,150,158,7
20,3000,79.25,143,150,158,7
20,3250,79.25,143,150,158,7
20,3500,79.25,143,150,158,7
25,1250,51.8,109,123,140,4
25,1500,59.8,117,127,142,4
25,1750,65.2,124,133,147,4
25,2000,69.8,130,139,150,4
25,2250,73.6,135,143,153,4
25,2500,77.2,140,148,157,4
25,2750,79.25,143,150,158,7
25,3000,79.25,143,150,158,7
25,3250,79.25,143,150,158,7
25,3500,79.25,143,150,158,7
30,1250,49.5,108,123,140,4
30,1500,58.4,115,126,142,4
30,1750,63.6,122,131,145,4
30,2000,68.0,128,137,149,4
30,2250,71.9,134,141,152,4
30,2500,75.4,139,145,155,4
30,2750,78.5,143,149,158,4
30,3000,79.25,144,150,158,7
30,3250,79.25,144,150,158,7
30,3500,79.25,144,150,158,7
35,1250,46.6,108,123,140,4
35,1500,56.3,114,125,141,4
35,1750,61.7,121,129,144,4
35,2000,66.1,127,134,148,4
35,2250,69.9,132,139,151,4
35,2500,73.2,137,143,153,4
35,2750,76.3,142,146,156,4
35,3000,79.0,146,150,158,4
35,3250,79.25,146,150,158,7
35,3500,79.25,146,150,158,7
40,1500,54.1,113,124,140,4
40,1750,59.8,119,127,142,4
40,2000,64.1,125,132,146,4
40,2250,67.7,131,136,149,4
40,2500,71.0,135,140,151,4
40,2750,73.9,140,144,154,4
40,3000,76.4,144,147,156,4
40,3250,78.8,148,149,158,4
40,3500,79.25,149,150,158,7
