OATC,CorrectedRunwayLengthM,MaxTakeoffWeightT,V1Kt,VRKt,V2Kt,LimitationCode
-10,1000,51.6,108,123,138,4
-10,1250,62.7,116,127,140,4
-10,1500,68.8,125,132,144,4
-10,1750,73.6,132,136,148,4
-10,2000,78.2,138,140,151,4
-10,2250,79.25,140,141,152,7
-10,2500,79.25,140,141,152,7
-10,2750,79.25,140,141,152,7
0,1000,49.3,108,123,138,4
0,1250,61.6,114,126,139,4
0,1500,67.8,123,131,144,4
0,1750,72.6,130,135,147,4
0,2000,77.2,136,139,150,4
0,2250,79.25,139,141,152,7
0,2500,79.25,139,141,152,7
0,2750,79.25,139,141,152,7
10,1000,47.0,108,123,138,4
10,1250,60.5,113,125,139,4
10,1500,66.9,122,130,143,4
10,1750,71.6,128,134,146,4
10,2000,76.2,135,138,149,4
10,2250,79.25,139,141,152,7
10,2500,79.25,139,141,152,7
10,2750,79.25,139,141,152,7
20,1250,59.3,112,125,138,4
20,1500,66.0,120,130,143,4
20,1750,70.6,127,134,146,4
20,2000,75.2,133,137,149,4
20,2250,79.25,139,141,152,7
20,2500,79.25,139,141,152,7
20,2750,79.25,139,141,152,7
25,1250,58.6,111,124,138,4
25,1500,65.5,119,129,142,4
25,1750,70.2,126,133,145,4
25,2000,74.8,132,137,148,4
25,2250,78.8,138,140,151,4
25,2500,79.25,139,141,152,7
25,2750,79.25,139,141,152,7
30,1250,57.8,110,124,138,4
30,1500,65.0,118,129,142,4
30,1750,69.7,125,133,145,4
30,2000,74.2,131,137,148,4
30,2250,78.3,137,140,151,4
30,2500,79.25,138,141,152,7
30,2750,79.25,138,141,152,7
35,1250,55.3,109,123,138,4
35,1500,63.0,117,127,141,4
35,1750,67.6,124,131,144,4
35,2000,72.0,130,135,147,4
35,2250,76.0,136,138,149,4
35,2500,79.25,140,141,152,7
35,2750,79.25,140,141,152,7
40,1250,52.2,108,123,138,4
40,1500,60.8,116,125,139,4
40,1750,65.6,123,129,142,4
40,2000,69.9,129,133,145,4
40,2250,73.6,134,136,148,4
40,2500,77.0,139,139,150,4
40,2750,79.25,141,141,152,7
